,Image,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
10,110,72.47585686834155,-29.571332030877315,-4.775970153768291,3.4296658006950786,2.5963277581374915,0.00023166890902363355,-0.0006609308298240312,-0.00024709053755992035,1.2847603441240811,0.6891007520788841,68.305386433555,-43.110114846105276,-9.522039634757679,2.547527127320062,1.779532263296636,1078.1571428571428,-112.90194996805602,53.52264892871642,9.340618420394732,8.035470184319648
11,111,94.62540995320414,-28.53829344240609,0.4379078840844435,4.139362837716641,3.1655125259587575,0.0006937015050681262,-0.0006132472089289395,-0.0001296277447286979,1.8811521071192707,1.185056105508132,103.32006564700755,-41.15558349747977,-1.90409629124468,3.3034508771711484,2.4059615036364184,1208.4171428571428,-121.53288341589274,72.95319455360404,10.429839953737309,8.90462575291779
12,112,120.88444774935057,-26.707179864647884,5.4545926942939555,4.960351805443302,3.8794388217052393,0.0011393113081306172,-0.000549315364476439,-1.2527983776343616e-05,2.430518955558419,1.6578958973889872,137.19613786029262,-38.06657024506438,5.500127470175581,4.007400210723498,3.0112430961157086,1315.337142857143,-126.3043348187861,89.56305701276986,11.30575554403758,9.612863101798093
13,113,136.78566009043374,-24.109281528117112,10.314671731658926,5.407457909682793,4.25051614094502,0.0015858205370662285,-0.000469612231128021,0.00010493146573424083,2.958480039438861,2.1315125583055763,163.8943147832088,-33.884634938332574,12.746438118467728,4.522236437852642,3.45601205952254,1385.4771428571428,-127.44948650016107,103.6014915857225,11.864793634512411,10.05282726360796
14,114,153.1672252445047,-20.819186197582482,14.878608191794473,5.847444222083386,4.647690403304474,0.0019935917860471075,-0.0003764261503780101,0.00021937824790030022,3.411277112306478,2.5537081141899316,189.59923642183054,-28.72984432606752,19.62678820755749,4.992117340046119,3.8864378632196135,1425.4371428571428,-124.93546022801226,114.66544344890534,12.158455430202439,10.279438152294555
15,115,164.37093521329362,-16.93135517397609,19.01536776350762,6.093320861028311,4.885200895788456,0.0023212278278258746,-0.0002724325700575729,0.00032752650293820895,3.7331761150049285,2.8696271002163707,208.25756853431787,-22.750196620584855,25.943637315362913,5.282016789356147,4.1686271670838,1434.077142857143,-118.83443573222183,122.43725758583705,12.178366785991932,10.286246708573376
16,116,170.05347950819132,-12.557411233975374,22.606180729946512,6.137301120870648,4.955501111589036,0.002721858205965893,-0.00016061723006165644,0.0004262712068778272,4.148881040342748,3.3041452003141214,219.80742787542488,-16.11737234924958,31.515623589225193,5.394445312159144,4.305311862010197,1422.337142857143,-109.32157836608374,126.69379891978251,12.0116959363288,10.160797358875673
17,117,178.17769666316042,-8.003152513629866,25.451618166959495,6.2572825185475915,5.1329136445884185,0.002830392698184111,-4.8546003290438376e-05,0.0005098218134287639,4.143790453707294,3.3401056696605407,227.29080343873395,-9.290508803699568,36.02769866458506,5.4094565283314315,4.37325095943857,1378.577142857143,-97.19057514791658,127.35532256050374,11.573383062233166,9.812431350438327
18,118,176.07562922225958,-3.0498795297374928,27.68832046657755,6.020162221279315,4.987093555307525,0.0028334719975213773,6.916286849199197e-05,0.0005821904957230112,3.9787987754310143,3.240374236166195,235.12991663893916,-1.9417740312543579,39.69653632915284,5.420669082536394,4.468604747137904,1274.8771428571429,-81.85888470327366,124.4535954512587,10.639903265071558,9.021943111711167
19,119,168.35581083869315,1.990957964950526,29.13006866631282,5.591294111023875,4.679185890917358,0.0030085601661742505,0.00018488601831878143,0.000637844017484282,4.064245609769545,3.4122820817128323,226.55482658396238,5.462710645891379,42.22565429334768,5.055294429588061,4.2147058656417,1107.1571428571428,-64.17695939748582,117.9787048462793,9.185929529326739,7.757413880469461
