,Image,Time,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
18,48,132.003,166.93859315499373,11.406293575372956,41.15908033039335,3.6747932020400604,2.9718180720856227,0.0025386678405563156,0.00023915221864702693,0.0006563423510152394,3.330099282721878,2.7259352808245976,217.4926802670901,17.817363214651984,54.31344785423772,3.5303425467561853,2.8850766105598358,1080.9671428571428,13.690955284535605,211.936400702798,5.034007538829032,4.098945857143981
19,49,132.03,148.4163036906367,18.123887913602868,42.23326177462609,3.0784453458795094,2.5088082775059686,0.0023897624489099913,0.00034508752855828384,0.0006831463784808986,2.9610455440216334,2.4714774267542436,205.08388279380557,26.624575391998214,56.19820008417424,3.155234683412507,2.632360714542485,895.7271428571429,49.214628334018656,209.85751530753788,3.9927344294211817,3.235032239959617
20,50,132.057,138.42897957138626,24.321130754880592,42.0948920769523,2.696049298207981,2.276105032884524,0.0023970156668738315,0.00044111509610650205,0.000690336720275368,2.8324848179894357,2.471568482402888,184.73501771225696,34.66737445186253,56.469456485898185,2.6532582680435546,2.2677884015181324,671.4271428571429,83.32530955482576,201.753450725751,2.773892172349844,2.2153037184840647
21,51,132.084,112.01432007115113,29.82009423932468,40.74794394342894,1.9420196521888131,1.6838251298028042,0.0022350298018111053,0.0005244778920738358,0.0006777069358636892,2.4771772078438734,2.2552748541677223,158.03281425383548,41.714845120980655,55.11942906847811,2.056550010506048,1.8195513983090907,428.04714285714283,115.04365366968575,187.85688121343597,1.476339435468064,1.1329022439990317
22,52,132.111,84.7235944140979,34.462898672757596,38.23108934560173,1.1875196569412898,1.098487851290724,0.0018623557656879419,0.0005927825030887786,0.0006456196365827441,1.8385632917048853,1.7620459161876707,127.08799621980644,47.56464881006891,52.18687821219412,1.4060058146663237,1.3242828788519554,177.38714285714286,143.4590013365523,168.56678853342305,0.16002841830619596,0.041602849082331014
23,53,132.138,58.61629014446895,38.11624538062578,34.61658921686652,0.48435871740662334,0.5670458037212991,0.0015696971718525386,0.0006440678484629808,0.0005949960747759127,1.3404725397458075,1.411537018195192,96.01817689831194,52.0488329186389,47.75599982661084,0.7773962655766433,0.8532953378036306,-62.512857142857115,167.75552491605802,144.43700686570585,1.0861038452239278,0.9761176982203361
24,54,132.165,27.92799756679188,40.67524382080975,30.008218782601602,0.3011817738540872,0.049149808774503013,0.0012007477458880066,0.0006768614844046997,0.0005272896938928685,0.758678587338698,0.9752846010370578,59.421848420343416,55.03865289006301,41.95400801788698,0.07749671767009973,0.30883867411886334,-183.17285714285714,187.23565154319547,116.16032177999251,1.7471009349631499,1.4118608630690295
25,55,132.192,11.957110880787006,42.066423076075765,24.538288089363274,0.7113988288761004,0.2972580268195,0.0008975906821373519,0.0006902218790731051,0.0004444443989504883,0.30030615828988,0.6562347731978955,37.27048524905805,56.44826857211026,34.94748266871247,0.3390711752322506,0.041071650550902526,-515.5528571428571,201.3400910094789,84.54857980067064,3.381359527696498,2.830490544820049
26,56,132.219,-27.738557840459755,42.24984126355873,18.363843276385545,1.6536301073427548,1.0892707860670356,0.00042286804865047445,0.0006837654447192652,0.00034883874544682907,0.3778248876566923,0.10720732973067179,-11.567648720315997,56.23720875717415,26.93758679508177,1.198818045029867,0.6807885582431644,-756.2928571428571,209.6638934373863,50.50937963615897,4.5561154846555905,3.8054334853352016
27,57,132.246,-61.190195315934645,41.220232298583504,11.662157653697815,2.4196719538837064,1.721297326465474,-0.00018240350564059093,0.0006576775508012736,0.0002432176491058933,1.2165837434765854,0.6163735913025412,-53.961770133338945,54.41153314343827,18.154290993140688,1.916085018109886,1.2750419163347069,-949.512857142857,211.96807571943515,15.020014284724178,5.47834182034272,4.549399492607473
